date,action,price,shares,commission
2023-01-06,buy,4.045,28076.914141946596,34.07133531125219
2023-02-08,sell,4.073,28076.914141946596,34.30718139004455
2023-03-06,buy,4.099,27882.087708100466,34.28660325465114
2023-03-08,sell,4.026,27882.087708100466,33.675985533843736
2023-03-29,buy,3.997,28067.538989561228,33.65578600238286
2023-04-25,sell,3.96,28067.538989561228,33.344236319598735
2023-06-15,buy,3.942,28178.788920995663,33.32423577796947
2023-06-29,sell,3.859,28178.788920995663,32.62258393383668
2023-07-03,buy,3.927,27674.235000238008,32.603016253780396
2023-07-11,sell,3.91,27674.235000238008,32.46187765527918
2023-07-14,buy,3.952,27363.70307867036,32.44240637007158
2023-07-24,sell,3.873,27363.70307867036,31.793886607107094
2023-07-25,buy,3.985,26578.68339299546,31.77481599632607
2023-08-15,sell,3.919,26578.68339299546,31.24855806514476
2023-09-06,buy,3.883,26809.008973610788,31.2298145533592
2023-09-12,sell,3.832,26809.008973610788,30.81963671606296
2023-11-06,buy,3.701,27741.28657111067,30.801150479904177
2023-11-22,sell,3.611,27741.28657111067,30.052135742484186
2023-12-29,buy,3.499,28612.08904334648,30.034109868800797
2024-01-08,sell,3.349,28612.08904334648,28.746565861850208
2024-02-19,buy,3.389,28257.424112484612,28.729323095163103
2024-03-27,sell,3.493,28257.424112484612,29.610954727472624
2024-04-08,buy,3.529,27952.388290365056,29.593193483009482
2024-04-10,sell,3.497,27952.388290365056,29.32485055542198
2024-04-19,buy,3.531,27666.62977624729,29.307260921978752
2024-04-24,sell,3.513,27666.62977624729,29.157861121187015
2024-04-29,buy,3.616,26862.436994243413,29.140371651355256
2024-05-28,sell,3.609,26862.436994243413,29.08396053366734
2024-07-15,buy,3.526,27478.27130921722,29.066515390889972
2024-07-26,sell,3.474,27478.27130921722,28.637854358466186
2024-09-25,buy,3.474,27461.789291037134,28.6206767991189
2024-10-31,sell,3.971,27461.789291037134,32.71522958241253
2024-11-05,buy,4.137,26344.054735024038,32.695606331638324
2024-11-20,sell,4.068,26344.054735024038,32.15028439862333
2024-12-10,buy,4.085,26218.686261362513,32.131000013299754
2024-12-20,sell,4.018,26218.686261362513,31.60400441944637
2024-12-24,buy,4.069,25874.537317776183,31.585047703809384
2025-01-02,sell,3.909,25874.537317776183,30.343069912556125
2025-01-24,buy,3.929,25727.385705203313,30.32486953072314
2025-03-05,sell,3.994,25727.385705203313,30.826553551974605
2025-03-11,buy,4.035,25450.692413844634,30.808063166958927
2025-03-13,sell,4.005,25450.692413844634,30.57900693523432
2025-03-14,buy,4.106,24809.762164023105,30.560665033643655
2025-03-26,sell,4.013,24809.762164023105,29.868472669267412
2025-04-25,buy,3.882,25631.596222203778,29.850556960378515
2025-05-29,sell,3.966,25631.596222203778,30.496473185178054
2025-06-11,buy,4.004,25373.110879941574,30.478180788985814
2025-06-18,sell,3.904,25373.110879941574,29.716987462587568
2025-06-30,buy,3.982,24861.177479962767,29.699162617563523
2025-10-20,sell,4.64,24861.177479962767,34.60675905210817
2025-10-21,buy,4.71,24477.00015854588,34.586001224025324
2025-10-23,sell,4.713,24477.00015854588,34.60803052416802
2025-10-24,buy,4.77,24170.00135110464,34.587271933430735
2025-11-17,sell,4.71,24170.00135110464,34.152211909110854
2025-12-08,buy,4.732,24043.200005297174,34.13172672751987
2026-01-20,sell,4.724,24043.200005297174,34.074023047507154
2026-02-13,buy,4.671,24301.42351042843,34.05358476516336
2026-03-04,sell,4.61,24301.42351042843,33.608868714922515
2026-04-13,buy,4.652,24067.576269329034,33.5887094414756
